medium_None_1_330
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                             aten::set_         0.00%     165.000us         0.00%     165.000us       4.853us            34  
                                   aten::_reshape_alias         0.00%     165.000us         0.00%     165.000us      10.312us            16  
                                          aten::detach_         0.00%     110.000us         0.00%     148.000us       4.353us            34  
                                     aten::resolve_conj         0.00%      81.000us         0.00%      81.000us       0.053us          1537  
                                                detach_         0.00%      40.000us         0.00%      40.000us       1.176us            34  
                                    aten::scalar_tensor         0.00%      20.000us         0.00%      20.000us      20.000us             1  
                                          aten::random_         0.00%      16.000us         0.00%      16.000us      16.000us             1  
                                           aten::detach         0.00%       5.000us         0.00%      15.000us      15.000us             1  
                                                 detach         0.00%      10.000us         0.00%      10.000us      10.000us             1  
                                               aten::to         0.00%       6.000us         0.00%       6.000us       0.171us            35  
                                       aten::lift_fresh         0.00%       2.000us         0.00%       2.000us       0.059us            34  
                                      aten::resolve_neg         0.00%       0.000us         0.00%       0.000us       0.000us             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 8.483s
medium_fbgemm_4_109
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model_inference         2.63%     207.423ms        99.60%        7.857s     462.182ms            17  
                     aten::_native_multi_head_attention         0.40%      31.511ms        48.28%        3.809s      19.836ms           192  
                                      quantized::linear        40.78%        3.217s        40.90%        3.226s       8.065ms           400  
                                               aten::mm        27.17%        2.144s        27.17%        2.144s      11.165ms           192  
                                            aten::addmm         9.29%     732.726ms         9.65%     761.239ms       3.965ms           192  
                                              aten::bmm         5.23%     412.868ms         5.23%     412.883ms       1.075ms           384  
                      aten::_transform_bias_rescale_qkv         2.66%     209.579ms         2.81%     221.591ms       1.154ms           192  
                                             aten::gelu         2.76%     217.616ms         2.76%     217.616ms       1.133ms           192  
                                         aten::_softmax         2.54%     200.226ms         2.54%     200.226ms       1.043ms           192  
                                       aten::dequantize         1.18%      93.390ms         1.31%     103.240ms     157.378us           656  
                                  quantized::layer_norm         1.24%      97.745ms         1.28%     100.950ms     252.375us           400  
                              aten::quantize_per_tensor         1.04%      81.988ms         1.07%      84.737ms     182.623us           464  
                                         quantized::add         0.60%      47.324ms         0.66%      52.293ms     130.732us           400  
                                            aten::copy_         0.61%      47.739ms         0.61%      47.739ms     124.320us           384  
                                      quantized::conv2d         0.48%      38.127ms         0.53%      41.582ms       2.599ms            16  
enumerate(DataLoader)#_MultiProcessingDataLoaderIter...         0.39%      30.521ms         0.39%      30.908ms       1.818ms            17  
                                       aten::contiguous         0.01%     628.000us         0.37%      28.856ms     138.731us           208  
                                            aten::clone         0.06%       4.455ms         0.36%      28.313ms     136.120us           208  
                                            aten::empty         0.28%      22.339ms         0.28%      22.339ms      14.973us          1492  
                                             aten::item         0.15%      11.547ms         0.17%      13.062ms       5.231us          2497  
                          aten::_empty_affine_quantized         0.11%       9.020ms         0.11%       9.020ms       7.321us          1232  
                                              aten::cat         0.03%       2.689ms         0.10%       7.629ms     238.406us            32  
                                           aten::narrow         0.04%       2.812ms         0.07%       5.242ms       9.101us           576  
                                                aten::t         0.02%       1.265ms         0.05%       4.047ms      10.539us           384  
                                        aten::transpose         0.04%       2.945ms         0.05%       4.017ms       6.974us           576  
                                       aten::empty_like         0.01%       1.143ms         0.05%       3.639ms      18.953us           192  
                                             aten::view         0.04%       3.235ms         0.04%       3.235ms       1.404us          2304  
                                          aten::resize_         0.04%       3.141ms         0.04%       3.141ms       7.813us           402  
                                            aten::slice         0.03%       2.336ms         0.04%       2.762ms       4.666us           592  
                                       aten::as_strided         0.03%       2.220ms         0.03%       2.220ms       1.387us          1600  
                                          aten::permute         0.02%       1.437ms         0.03%       2.010ms       9.663us           208  
                                          aten::reshape         0.02%       1.432ms         0.03%       1.999ms       4.997us           400  
                              aten::_local_scalar_dense         0.02%       1.581ms         0.02%       1.581ms       0.633us          2497  
                                     aten::_unsafe_view         0.01%       1.116ms         0.01%       1.116ms       5.812us           192  
                                           aten::expand         0.01%     903.000us         0.01%       1.019ms       4.899us           208  
                                          aten::qscheme         0.01%     624.000us         0.01%     624.000us       0.459us          1360  
                                          aten::q_scale         0.01%     608.000us         0.01%     608.000us       0.245us          2480  
                                     aten::q_zero_point         0.01%     603.000us         0.01%     603.000us       0.243us          2480  
                                         aten::randperm         0.00%     189.000us         0.01%     411.000us     205.500us             2  
                                           aten::select         0.00%     194.000us         0.00%     197.000us      12.312us            16  
                                             aten::set_         0.00%     146.000us         0.00%     146.000us       4.294us            34  
                                   aten::_reshape_alias         0.00%     139.000us         0.00%     139.000us       8.688us            16  
                                          aten::detach_         0.00%      97.000us         0.00%     128.000us       3.765us            34  
                                                detach_         0.00%      41.000us         0.00%      41.000us       1.206us            34  
                                     aten::resolve_conj         0.00%      31.000us         0.00%      31.000us       0.020us          1537  
